id_cliente,zona,id_antena,tipo_conexion,id_ap,distancia_m,senal_dbm,perfil_uso,fecha_alta,estado,fecha_baja,motivo_baja,medio_pago,personas_hogar,dispositivos,equipamiento,precio_mensual,tiene_inalambrico,tiene_mediciones,antiguedad_dias
FBJ-0001,Barrio Norte,A,Antena,AP-01,625,-74.5,Pesado,2023-05-23,Activo,,,Transferencia,2,2,Comodato,20000,1,1,1194
FBJ-0002,Barrio Belgrano,A,Cable,,183,,Medio,2025-02-05,Suspendido,,,Transferencia,4,5,Propio,20000,0,0,570
FBJ-0003,Paraje El Simbolar,A,Antena,AP-02,392,-66.0,Pesado,2023-08-10,Activo,,,Transferencia,3,4,Comodato,20000,1,1,1115
FBJ-0004,Barrio San Martín,A,Cable,,322,,Medio,2025-01-11,Activo,,,Debito,2,3,Comodato,20000,0,1,595
FBJ-0005,Villa Ojo de Agua,A,Cable,,179,,Liviano,2023-05-28,Activo,,,Debito,1,2,Propio,20000,0,1,1189
FBJ-0006,Barrio San Martín,A,Antena,AP-01,331,-62.0,Muy_pesado,2024-03-13,Suspendido,,,Efectivo,6,5,Propio,20000,1,0,899
FBJ-0007,Paraje El Simbolar,A,Antena,AP-02,594,-68.6,Pesado,2023-07-20,Activo,,,Transferencia,1,8,Propio,20000,1,1,1136
FBJ-0008,Barrio San Martín,A,Antena,AP-01,350,-62.4,Pesado,2025-03-21,Baja,2026-04-26,Mudanza,Debito,6,6,Propio,20000,1,0,526
FBJ-0009,Barrio Belgrano,A,Antena,AP-02,565,-72.0,Liviano,2024-12-12,Activo,,,Efectivo,1,1,Propio,20000,1,1,625
FBJ-0010,Barrio San Martín,A,Antena,AP-01,482,-67.3,Medio,2024-12-04,Activo,,,Transferencia,6,4,Propio,20000,1,1,633
FBJ-0011,Barrio Belgrano,A,Antena,AP-02,440,-67.1,Medio,2024-06-04,Activo,,,Transferencia,2,6,Propio,20000,1,1,816
FBJ-0012,Paraje El Simbolar,A,Antena,AP-01,631,-74.1,Pesado,2023-07-10,Activo,,,Transferencia,4,10,Propio,20000,1,1,1146
FBJ-0013,Barrio Norte,A,Antena,AP-02,111,-56.0,Medio,2023-12-22,Activo,,,Efectivo,6,4,Comodato,20000,1,1,981
FBJ-0014,Barrio Norte,A,Antena,AP-01,319,-62.5,Pesado,2023-02-03,Activo,,,Transferencia,4,1,Propio,20000,1,1,1303
FBJ-0015,Paraje El Simbolar,A,Antena,AP-02,894,-83.5,Medio,2025-02-05,Activo,,,Debito,1,6,Propio,20000,1,1,570
FBJ-0016,Barrio Norte,A,Antena,AP-01,713,-78.1,Liviano,2024-04-23,Baja,2026-01-12,Mal_servicio,Debito,2,10,Propio,20000,1,0,858
FBJ-0017,Barrio Norte,A,Antena,AP-02,762,-79.4,Medio,2024-09-23,Suspendido,,,Debito,4,1,Propio,20000,1,0,705
FBJ-0018,Barrio San Martín,A,Cable,,281,,Liviano,2024-11-02,Activo,,,Transferencia,4,10,Propio,20000,0,1,665
FBJ-0019,Barrio Belgrano,A,Cable,,81,,Pesado,2025-04-15,Activo,,,Transferencia,1,10,Propio,20000,0,1,501
FBJ-0020,Villa Ojo de Agua,A,Antena,AP-01,244,-60.1,Medio,2023-08-12,Activo,,,Transferencia,5,5,Comodato,20000,1,1,1113
FBJ-0021,Villa Ojo de Agua,A,Cable,,163,,Pesado,2025-01-06,Activo,,,Efectivo,3,4,Propio,20000,0,1,600
FBJ-0022,Villa Ojo de Agua,A,Antena,AP-02,838,-82.4,Medio,2022-12-19,Activo,,,Transferencia,4,8,Propio,20000,1,1,1349
FBJ-0023,Paraje El Simbolar,A,Antena,AP-01,872,-78.5,Muy_pesado,2024-12-22,Activo,,,Transferencia,5,7,Propio,20000,1,1,615
FBJ-0024,Barrio San Martín,A,Antena,AP-02,169,-58.3,Pesado,2023-05-22,Activo,,,Transferencia,2,8,Comodato,20000,1,1,1195
FBJ-0025,Barrio Belgrano,A,Antena,AP-01,575,-73.2,Pesado,2023-10-30,Activo,,,Efectivo,3,10,Propio,20000,1,1,1034
FBJ-0026,Barrio Belgrano,A,Antena,AP-02,283,-64.0,Liviano,2023-03-09,Activo,,,Transferencia,5,9,Propio,20000,1,1,1269
FBJ-0027,Barrio Norte,A,Cable,,85,,Medio,2025-02-27,Activo,,,Transferencia,2,10,Propio,20000,0,1,548
FBJ-0028,Villa Ojo de Agua,A,Antena,AP-01,313,-62.2,Liviano,2023-01-20,Baja,2025-04-20,Mudanza,Transferencia,5,1,Propio,20000,1,0,1317
FBJ-0029,Barrio Norte,A,Cable,,251,,Liviano,2023-05-06,Activo,,,Transferencia,5,9,Comodato,20000,0,1,1211
FBJ-0030,Barrio Norte,A,Antena,AP-02,116,-54.6,Medio,2024-10-04,Activo,,,Transferencia,2,1,Propio,20000,1,1,694
FBJ-0031,Villa Ojo de Agua,B,Cable,,202,,Medio,2023-02-13,Activo,,,Transferencia,3,10,Propio,20000,0,1,1293
FBJ-0032,Barrio Belgrano,B,Cable,,302,,Muy_pesado,2023-05-08,Activo,,,Efectivo,4,8,Comodato,20000,0,1,1209
FBJ-0033,Barrio San Martín,B,Antena,AP-01,719,-77.6,Medio,2023-04-15,Activo,,,Debito,6,5,Propio,20000,1,1,1232
FBJ-0034,Villa Ojo de Agua,B,Antena,AP-02,604,-72.2,Medio,2025-03-03,Activo,,,Transferencia,4,3,Propio,20000,1,1,544
FBJ-0035,Barrio Norte,B,Cable,,154,,Medio,2023-07-04,Activo,,,Efectivo,2,3,Comodato,20000,0,1,1152
FBJ-0036,Barrio Norte,B,Antena,AP-01,831,-77.3,Liviano,2023-06-04,Activo,,,Efectivo,3,7,Comodato,20000,1,1,1182
FBJ-0037,Paraje El Simbolar,B,Cable,,205,,Liviano,2023-06-08,Activo,,,Efectivo,1,3,Comodato,20000,0,1,1178
FBJ-0038,Barrio San Martín,B,Antena,AP-02,786,-79.7,Medio,2022-12-22,Baja,2025-06-15,Mal_servicio,Debito,1,8,Comodato,20000,1,0,1346
FBJ-0039,Barrio San Martín,B,Cable,,288,,Liviano,2024-12-25,Activo,,,Efectivo,5,10,Propio,20000,0,1,612
FBJ-0040,Villa Ojo de Agua,B,Antena,AP-01,564,-73.1,Medio,2022-12-28,Activo,,,Efectivo,2,1,Propio,20000,1,1,1340
FBJ-0041,Barrio San Martín,B,Antena,AP-02,509,-69.1,Medio,2023-11-29,Activo,,,Efectivo,3,2,Propio,20000,1,1,1004
FBJ-0042,Paraje El Simbolar,B,Antena,AP-01,176,-53.0,Pesado,2023-01-10,Activo,,,Efectivo,3,3,Propio,20000,1,1,1327
