id_cliente,fecha,franja,id_antena,tipo_conexion,id_ap,distancia_m,senal_dbm,usuarios_conectados_antena,usuarios_activos_antena,demanda_mbps_antena,carga_antena_pct,consumo_gb_franja,horas_conexion,sesiones,cortes,minutos_sin_servicio,lluvia,es_fin_de_semana,es_feriado,velocidad_efectiva_mbps,tiene_inalambrico,velocidad_censurada,dia_semana,mes,franja_orden
FBJ-0007,2026-06-01,Madrugada,A,Antena,AP-02,594,-68.6,3,3,35.3,8.8,2.964,1.73,6,0,0,0,0,0,17.94,1,0,0,2026-06,1
FBJ-0009,2026-06-01,Madrugada,A,Antena,AP-02,565,-72.0,3,3,35.3,8.8,3.294,1.51,3,0,0,0,0,0,15.03,1,0,0,2026-06,1
FBJ-0011,2026-06-01,Madrugada,A,Antena,AP-02,440,-67.1,3,3,35.3,8.8,2.953,1.22,6,1,12,0,0,0,19.84,1,0,0,2026-06,1
FBJ-0012,2026-06-01,Madrugada,A,Antena,AP-01,631,-74.1,3,3,35.3,8.8,1.352,0.47,6,0,0,0,0,0,20.37,1,0,0,2026-06,1
FBJ-0022,2026-06-01,Madrugada,A,Antena,AP-02,838,-82.4,3,3,35.3,8.8,5.307,2.64,3,0,0,0,0,0,16.95,1,0,0,2026-06,1
FBJ-0034,2026-06-01,Madrugada,B,Antena,AP-02,604,-72.2,4,1,3.0,0.8,2.51,1.32,4,0,0,0,0,0,16.28,1,0,0,2026-06,1
FBJ-0005,2026-06-01,Mañana,A,Cable,,179,,9,8,61.7,15.4,8.894,1.87,4,0,0,0,0,0,33.42,0,0,0,2026-06,2
FBJ-0009,2026-06-01,Mañana,A,Antena,AP-02,565,-72.0,9,8,61.7,15.4,1.556,0.84,1,0,0,0,0,0,15.92,1,0,0,2026-06,2
FBJ-0018,2026-06-01,Mañana,A,Cable,,281,,9,8,61.7,15.4,5.838,1.16,6,0,0,0,0,0,33.54,0,0,0,2026-06,2
FBJ-0020,2026-06-01,Mañana,A,Antena,AP-01,244,-60.1,9,8,61.7,15.4,2.724,0.79,4,1,35,0,0,0,27.79,1,0,0,2026-06,2
FBJ-0022,2026-06-01,Mañana,A,Antena,AP-02,838,-82.4,9,8,61.7,15.4,3.584,1.88,6,0,0,0,0,0,13.96,1,0,0,2026-06,2
FBJ-0026,2026-06-01,Mañana,A,Antena,AP-02,283,-64.0,9,8,61.7,15.4,6.912,2.93,1,0,0,0,0,0,23.64,1,0,0,2026-06,2
FBJ-0030,2026-06-01,Mañana,A,Antena,AP-02,116,-54.6,9,8,61.7,15.4,8.263,2.28,6,0,0,0,0,0,28.06,1,0,0,2026-06,2
FBJ-0031,2026-06-01,Mañana,B,Cable,,202,,14,7,60.0,15.0,7.333,1.84,4,0,0,0,0,0,35.0,0,1,0,2026-06,2
FBJ-0033,2026-06-01,Mañana,B,Antena,AP-01,719,-77.6,14,7,60.0,15.0,2.299,1.11,3,0,0,0,0,0,17.81,1,0,0,2026-06,2
FBJ-0036,2026-06-01,Mañana,B,Antena,AP-01,831,-77.3,14,7,60.0,15.0,3.693,1.64,2,0,0,0,0,0,17.77,1,0,0,2026-06,2
FBJ-0037,2026-06-01,Mañana,B,Cable,,205,,14,7,60.0,15.0,7.966,1.76,1,0,0,0,0,0,34.55,0,0,0,2026-06,2
FBJ-0040,2026-06-01,Mañana,B,Antena,AP-01,564,-73.1,14,7,60.0,15.0,0.53,0.2,8,0,0,0,0,0,18.73,1,0,0,2026-06,2
FBJ-0042,2026-06-01,Mañana,B,Antena,AP-01,176,-53.0,14,7,60.0,15.0,5.239,1.13,5,0,0,0,0,0,33.19,1,0,0,2026-06,2
FBJ-0043,2026-06-01,Mañana,B,Cable,,318,,14,7,60.0,15.0,14.803,2.71,3,0,0,0,0,0,34.65,0,0,0,2026-06,2
FBJ-0045,2026-06-01,Mañana,B,Antena,AP-02,848,-81.7,14,7,60.0,15.0,3.516,1.88,1,0,0,0,0,0,14.58,1,0,0,2026-06,2
FBJ-0049,2026-06-01,Mañana,B,Cable,,350,,14,7,60.0,15.0,7.086,1.38,2,0,0,0,0,0,30.99,0,0,0,2026-06,2
